1;Facultad de Ingenieria;Libertador General San Martin 1109 (O);Capital;SanJuan;0264-4222074 - 4222643;4
1;1;BioIngenieria;Bioingeniero;Once Semestres;Grado;
1;2;Ingenieria Electronica;Ingeniero en Electronica;Once Semestres;Grado;
1;3;Ingenieria Industrial;Ingeniero Industrial;Diez Semestres;Grado;
1;4;Ingenieria Civil;Ingeniero Civil;Diez Semestres;Grado;
2;Facultad de Ciencias Exactas Fisicas y Naturales;Avenida Ignacio de la Roza 590 (O);Rivadavia;SanJuan;0264-4260353 - 4260355;3
2;1;Licenciatura en Ciencias de la Computacion;Licenciado en Ciencias de la Computacion;Diez Semestres;Grado;
2;2;Licenciatura en Sistemas de Informacion;Licenciado en Sistemas de Informacion;Diez Semestres;Grado;
2;3;Tecnicatura en Programacion Web;Tecnico en Programacion Web;Tres Semestres;Pre-grado;
3;Facultad de Ciencias Sociales;Avenida Ignacio de la Roza 590 (O);Rivadavia;SanJuan;0264-4231959 - 4231949;3
3;1;Licenciatura en Trabajo Social;Licenciado en Trabajo Social;Diez Semestres;Grado;
3;2;Licenciatura en Ciencias Politicas;Licenciado en Ciencias Politicas;Diez Semestres;Grado;
3;3;Tecnicatura en Administracion Publica;Tecnico en Administracion Publica;Tres Semestres;Pre-grado;
4;Facultad de Filosofia, Humanidades y Artes;Avenida Ignacio de la Roza 230 (O);Capital;SanJuan;0264-4222075 - 4222643;2
4;1;Licenciatura en Educacion Musical;Licenciado en Educacion Musical;Diez Semestres;Grado;
4;2;Profesorado Universitario de Musica;Profesor Universitario de Musica;Diez Semestres;Grado;
5;Facultad de Arquitectura Urbanismo y Diseno;Avenida Ignacio de la Roza 590 (O);Rivadavia;SanJuan;0264-4235397 - 4233259;2
5;1;Arquitectura y Urbanismo;Arquitecto;Once Semestres;Grado;
5;2;Diseno Grafico;Disenador Grafico ;Diez Semestres;Grado;